Channel,Freq,Anten1,Anten2
1,2412,9,8.97
2,2417,8.97,8.94
3,2422,8.86,8.87
4,2427,8.8,8.8
5,2432,8.75,8.72
6,2437,8.71,8.71
7,2442,8.72,8.72
8,2447,8.73,8.75
9,2452,8.77,8.8
10,2457,8.83,8.85
11,2462,8.84,8.83
12,2467,8.83,8.84
13,2472,8.83,8.85
16,5080,12.43,12.45
34,5170,12.24,12.36
36,5180,11.86,11.97
38,5190,11.57,11.63
40,5200,11.28,11.39
42,5210,11.24,11.32
44,5220,11.23,11.3
46,5230,11.32,11.42
48,5240,11.49,11.68
50,5250,11.78,11.93
52,5260,11.95,12.08
54,5270,12.1,12.17
56,5280,12.09,12.17
58,5290,12.1,12.17
60,5300,12.04,12.2
62,5310,12.05,12.32
64,5320,12.13,12.42
100,5500,13.05,12.84
102,5510,12.88,12.69
104,5520,12.66,12.49
106,5530,12.34,12.14
108,5540,12.26,12.08
110,5550,12.34,12.24
112,5560,12.51,12.38
114,5570,12.5,12.41
116,5580,12.42,12.35
118,5590,12.26,12.27
120,5600,12.27,12.3
122,5610,12.44,12.51
124,5620,12.86,13
126,5630,13.41,13.54
128,5640,13.98,14.13
132,5660,14.94,15.22
134,5670,15.25,15.49
136,5680,15.16,15.4
138,5690,14.93,15.14
140,5700,14.55,14.77
142,5710,14.27,14.46
144,5720,14.08,14.25
149,5745,13.72,13.82
151,5755,13.44,13.58
153,5765,13.12,13.26
155,5775,12.75,13.12
157,5785,12.63,13.05
159,5795,12.53,12.95
161,5805,12.47,12.75
165,5825,12.2,12.28
169,5845,11.95,11.89
173,5865,11.65,11.46
184,4920,11.79,11.94
